distance_m,terrain_elevation_m
0.0,1261.1666666666667
64.99,1264.8333333333333
129.98,1272.0
194.97,1276.5
259.96,1278.3333333333333
324.95,1282.0
389.94,1293.5
454.93,1300.8333333333333
519.92,1309.8333333333333
584.91,1309.5
649.9,1310.1666666666667
714.89,1320.0
779.8799999999999,1324.6666666666667
844.8699999999999,1326.6666666666667
909.86,1330.3333333333333
974.85,1339.0
1039.84,1347.1666666666667
1104.83,1349.3333333333333
1169.82,1353.0
1234.81,1361.8333333333333
1299.8,1369.1666666666667
1364.79,1378.0
1429.78,1394.0
1494.77,1398.1666666666667
1559.7599999999998,1407.3333333333333
1624.7499999999998,1413.1666666666667
1689.7399999999998,1422.8333333333333
1754.7299999999998,1429.3333333333333
1819.72,1443.8333333333333
1884.71,1452.6666666666667
1949.7,1471.5
2014.69,1480.0
2079.68,1483.8333333333333
2144.67,1494.3333333333333
2209.66,1496.1666666666667
2274.65,1508.5
2339.64,1516.6666666666667
2404.63,1510.6666666666667
2469.62,1512.8333333333333
2534.61,1509.6666666666667
2599.6,1509.1666666666667
2664.59,1496.5
2729.58,1483.1666666666667
2794.57,1464.5
2859.56,1443.8333333333333
2924.55,1431.0
2989.54,1397.6666666666667
3054.53,1382.6666666666667
3119.5199999999995,1347.1666666666667
3184.51,1302.3333333333333
3249.4999999999995,1279.6666666666667
3314.49,1255.0
3379.48,1218.0
3444.47,1165.5
3509.46,1113.5
3574.45,1088.0
3639.44,1040.1666666666667
3704.43,1030.0
3769.42,1011.5
3834.41,966.1666666666666
3899.4,941.5
3964.39,882.1666666666666
4029.38,858.0
4094.37,813.6666666666666
4159.36,757.6666666666666
4224.349999999999,730.1666666666666
4289.339999999999,699.8333333333334
4354.33,669.1666666666666
4419.32,627.0
4484.31,599.8333333333334
4549.299999999999,565.3333333333334
4614.29,541.0
4679.28,488.5
4744.27,462.3333333333333
4809.259999999999,412.6666666666667
4874.25,353.1666666666667
4939.24,337.8333333333333
5004.23,294.6666666666667
5069.219999999999,252.83333333333331
5134.21,202.83333333333331
5199.2,177.33333333333334
5264.19,114.66666666666669
5329.179999999999,96.0
5394.169999999999,40.16666666666666
5459.16,-35.5
5524.15,-41.66666666666666
5589.139999999999,-85.66666666666667
5654.129999999999,-122.5
5719.12,-163.5
5784.11,-181.5
5849.099999999999,-245.5
5914.089999999999,-265.3333333333333
5979.08,-324.1666666666667
6044.07,-346.3333333333333
6109.06,-386.8333333333333
6174.049999999999,-415.8333333333333
6239.039999999999,-452.8333333333333
6304.03,-512.0
6369.02,-550.5
6434.009999999999,-592.8333333333334
6498.999999999999,-613.8333333333334
6563.99,-684.1666666666666
6628.98,-715.5
6693.969999999999,-746.0
6758.959999999999,-777.1666666666666
6823.95,-823.5
6888.94,-858.6666666666666
6953.929999999999,-894.8333333333334
7018.919999999999,-934.1666666666666
7083.91,-989.5
7148.9,-1064.5
7213.889999999999,-1056.6666666666667
7278.879999999999,-1100.6666666666667
7343.869999999999,-1116.5
7408.86,-1138.3333333333333
7473.849999999999,-1197.5
7538.839999999999,-1239.1666666666667
7603.829999999999,-1292.6666666666667
7668.82,-1347.6666666666667
7733.809999999999,-1351.3333333333333
7798.799999999999,-1395.0
7863.789999999999,-1442.3333333333333
7928.78,-1471.0
7993.769999999999,-1517.3333333333333
8058.759999999999,-1548.3333333333333
8123.749999999999,-1588.8333333333333
8188.74,-1637.3333333333333
8253.73,-1650.0
8318.72,-1678.0
8383.71,-1726.8333333333333
8448.699999999999,-1751.3333333333333
8513.689999999999,-1799.8333333333333
8578.679999999998,-1823.0
8643.67,-1840.1666666666667
8708.66,-1906.1666666666667
8773.65,-1920.3333333333333
8838.64,-1957.1666666666667
8903.63,-1987.8333333333333
8968.619999999999,-2030.6666666666667
9033.61,-2051.1666666666665
9098.6,-2093.0
9163.59,-2123.333333333333
9228.58,-2140.5
9293.57,-2181.333333333333
9358.56,-2208.1666666666665
9423.55,-2239.0
9488.54,-2253.5
9553.53,-2310.6666666666665
9618.52,-2311.0
9683.509999999998,-2342.6666666666665
9748.5,-2357.833333333333
9813.49,-2385.333333333333
9878.48,-2403.833333333333
9943.47,-2434.5
10008.46,-2450.333333333333
10073.45,-2459.1666666666665
10138.44,-2475.6666666666665
10203.429999999998,-2485.1666666666665
10268.42,-2499.6666666666665
10333.41,-2505.1666666666665
10398.4,-2522.6666666666665
10463.39,-2526.0
10528.38,-2536.6666666666665
10593.37,-2547.0
10658.36,-2554.333333333333
10723.35,-2567.333333333333
10788.339999999998,-2568.0
10853.33,-2586.6666666666665
10918.32,-2590.333333333333
10983.31,-2600.5
11048.3,-2607.833333333333
11113.29,-2620.833333333333
11178.28,-2626.1666666666665
11243.27,-2639.333333333333
11308.259999999998,-2645.5
11373.25,-2657.1666666666665
11438.24,-2670.833333333333
11503.23,-2674.6666666666665
11568.22,-2685.0
11633.21,-2687.1666666666665
11698.2,-2696.6666666666665
11763.19,-2704.333333333333
11828.179999999998,-2705.833333333333
11893.169999999998,-2705.833333333333
11958.16,-2712.5
12023.15,-2718.6666666666665
12088.14,-2721.5
12153.13,-2734.6666666666665
12218.12,-2739.833333333333
12283.11,-2747.5
12348.1,-2754.5
12413.089999999998,-2760.6666666666665
12478.079999999998,-2767.333333333333
12543.07,-2769.833333333333
12608.06,-2772.5
12673.05,-2777.5
12738.04,-2780.5
12803.03,-2783.833333333333
12868.02,-2786.5
12933.009999999998,-2790.0
